unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1621125300000,2021-05-16 00:35:00,BTC/USDT,47130.36000000,47222.10000000,47114.07000000,47139.72000000,67.54102900,3184985.80323874,1408
1621125240000,2021-05-16 00:34:00,BTC/USDT,47258.70000000,47266.08000000,47109.43000000,47130.36000000,96.37258900,4548526.42863856,2202
1621125180000,2021-05-16 00:33:00,BTC/USDT,47253.91000000,47380.44000000,47237.91000000,47264.93000000,53.99643500,2553516.09625196,1517
1621125120000,2021-05-16 00:32:00,BTC/USDT,47432.15000000,47437.28000000,47240.90000000,47253.90000000,121.71336100,5762048.64051553,2685
1621125060000,2021-05-16 00:31:00,BTC/USDT,47527.00000000,47527.00000000,47424.01000000,47432.16000000,52.08960600,2472303.42858346,1604
1621125000000,2021-05-16 00:30:00,BTC/USDT,47482.83000000,47698.00000000,47482.83000000,47527.00000000,99.21808800,4723933.20666582,2146
1621124940000,2021-05-16 00:29:00,BTC/USDT,47496.65000000,47563.54000000,47475.12000000,47482.82000000,48.55422600,2307962.40518633,1148
1621124880000,2021-05-16 00:28:00,BTC/USDT,47580.62000000,47590.26000000,47460.73000000,47496.65000000,45.85438900,2179490.21726508,1366
1621124820000,2021-05-16 00:27:00,BTC/USDT,47585.93000000,47617.21000000,47476.53000000,47584.73000000,66.85420400,3178810.88644677,1677
1621124760000,2021-05-16 00:26:00,BTC/USDT,47532.80000000,47600.00000000,47530.40000000,47585.94000000,27.73621700,1319463.74101623,1152
1621124700000,2021-05-16 00:25:00,BTC/USDT,47477.25000000,47538.21000000,47403.40000000,47530.00000000,59.81785900,2839409.66270021,1387
1621124640000,2021-05-16 00:24:00,BTC/USDT,47408.56000000,47497.84000000,47395.05000000,47485.39000000,60.15356100,2853924.08956724,1604
1621124580000,2021-05-16 00:23:00,BTC/USDT,47382.25000000,47513.09000000,47382.25000000,47408.56000000,60.12922700,2853241.45622465,1807
1621124520000,2021-05-16 00:22:00,BTC/USDT,47531.05000000,47531.05000000,47364.11000000,47383.62000000,121.79033000,5776186.13101984,2338
1621124460000,2021-05-16 00:21:00,BTC/USDT,47564.30000000,47578.55000000,47493.10000000,47527.10000000,54.24709100,2578162.89259280,1568
1621124400000,2021-05-16 00:20:00,BTC/USDT,47600.38000000,47616.86000000,47503.80000000,47569.14000000,89.32355300,4248255.88805061,1784
1621124340000,2021-05-16 00:19:00,BTC/USDT,47636.55000000,47643.39000000,47550.00000000,47600.39000000,79.74754200,3795716.52311388,2184
1621124280000,2021-05-16 00:18:00,BTC/USDT,47545.33000000,47656.17000000,47539.26000000,47639.79000000,79.96026800,3806193.94110271,2130
1621124220000,2021-05-16 00:17:00,BTC/USDT,47667.54000000,47687.27000000,47534.60000000,47552.12000000,150.89410800,7187938.97872869,2303
1621124160000,2021-05-16 00:16:00,BTC/USDT,47671.52000000,47697.88000000,47600.06000000,47671.38000000,131.48806000,6266265.70002457,2455
1621124100000,2021-05-16 00:15:00,BTC/USDT,47534.37000000,47696.81000000,47430.79000000,47670.93000000,117.88277800,5600780.11517743,3041
1621124040000,2021-05-16 00:14:00,BTC/USDT,47428.67000000,47554.72000000,47403.54000000,47534.37000000,154.35751700,7329789.28059655,2830
1621123980000,2021-05-16 00:13:00,BTC/USDT,47463.08000000,47489.00000000,47363.54000000,47428.67000000,128.06589800,6074364.43304776,2662
1621123920000,2021-05-16 00:12:00,BTC/USDT,47452.09000000,47481.96000000,47394.84000000,47460.70000000,83.93794800,3982311.79327629,2057
1621123860000,2021-05-16 00:11:00,BTC/USDT,47343.14000000,47474.57000000,47300.00000000,47447.13000000,107.22129300,5083102.81484997,2324
1621123800000,2021-05-16 00:10:00,BTC/USDT,47400.01000000,47448.87000000,47249.18000000,47343.14000000,145.81773500,6907194.44726915,2479
1621123740000,2021-05-16 00:09:00,BTC/USDT,47324.02000000,47435.11000000,47222.79000000,47400.03000000,206.97591100,9804194.11665234,3086
